Time :1390156054 | POS x : 2.57144 | POS y : 13.9514 | State : 1 |
Time :1390156054 | POS x : 3.27451 | POS y : 14.6645 | State : 1 |
Time :1390156055 | POS x : 4.18314 | POS y : 15.0852 | State : 4 |
Time :1390156055 | POS x : 4.04642 | POS y : 14.0958 | State : 2 |
Time :1390156055 | POS x : 3.90967 | POS y : 13.1063 | State : 2 |
Time :1390156056 | POS x : 3.77289 | POS y : 12.1168 | State : 2 |
Time :1390156056 | POS x : 3.63609 | POS y : 11.1274 | State : 2 |
Time :1390156056 | POS x : 3.49925 | POS y : 10.1379 | State : 2 |
Time :1390156056 | POS x : 3.36238 | POS y : 9.14847 | State : 2 |
Time :1390156057 | POS x : 3.22547 | POS y : 8.15903 | State : 2 |
Time :1390156057 | POS x : 3.08852 | POS y : 7.16959 | State : 2 |
Time :1390156057 | POS x : 2.95154 | POS y : 6.18015 | State : 2 |
Time :1390156057 | POS x : 2.81452 | POS y : 5.19072 | State : 2 |
Time :1390156057 | POS x : 2.67746 | POS y : 4.2013 | State : 2 |
Time :1390156058 | POS x : 2.54036 | POS y : 3.21188 | State : 2 |
Time :1390156058 | POS x : 2.66374 | POS y : 4.20536 | State : 3 |
Time :1390156058 | POS x : 2.78664 | POS y : 5.19891 | State : 3 |
Time :1390156059 | POS x : 2.90903 | POS y : 6.19251 | State : 3 |
Time :1390156059 | POS x : 3.03093 | POS y : 7.18618 | State : 3 |
Time :1390156059 | POS x : 3.15234 | POS y : 8.1799 | State : 3 |
Time :1390156059 | POS x : 3.27324 | POS y : 9.17369 | State : 3 |
Time :1390156059 | POS x : 3.39366 | POS y : 10.1675 | State : 3 |
Time :1390156060 | POS x : 3.51357 | POS y : 11.1614 | State : 3 |
Time :1390156060 | POS x : 3.63299 | POS y : 12.1554 | State : 3 |
Time :1390156060 | POS x : 3.75191 | POS y : 13.1494 | State : 3 |
Time :1390156060 | POS x : 3.87033 | POS y : 14.1435 | State : 3 |
Time :1390156060 | POS x : 3.98826 | POS y : 15.1376 | State : 3 |
Time :1390156061 | POS x : 4.1057 | POS y : 16.1318 | State : 3 |
Time :1390156061 | POS x : 3.61975 | POS y : 15.2594 | State : 0 |
Time :1390156061 | POS x : 2.64318 | POS y : 15.0498 | State : 4 |
Time :1390156061 | POS x : 1.65046 | POS y : 14.9388 | State : 1 |
Time :1390156061 | POS x : 0.737479 | POS y : 15.3456 | State : 1 |
Time :1390156062 | POS x : -0.167032 | POS y : 14.9223 | State : 4 |
Time :1390156062 | POS x : -0.16045 | POS y : 13.9233 | State : 2 |
Time :1390156063 | POS x : -0.153902 | POS y : 12.9243 | State : 2 |
Time :1390156063 | POS x : -0.147391 | POS y : 11.9253 | State : 2 |
Time :1390156063 | POS x : -0.140917 | POS y : 10.9263 | State : 2 |
Time :1390156063 | POS x : -0.134482 | POS y : 9.92734 | State : 2 |
Time :1390156063 | POS x : -0.128087 | POS y : 8.92835 | State : 2 |
Time :1390156064 | POS x : -0.121734 | POS y : 7.92936 | State : 2 |
