Time :1390156060 | POS x : -2.09486 | POS y : 1.39617 | State : 1 |
Time :1390156060 | POS x : -1.0944 | POS y : 1.42984 | State : 1 |
Time :1390156061 | POS x : -0.151536 | POS y : 1.76685 | State : 1 |
Time :1390156061 | POS x : 0.661786 | POS y : 2.35106 | State : 1 |
Time :1390156061 | POS x : 0.740827 | POS y : 3.34901 | State : 1 |
Time :1390156061 | POS x : 0.463665 | POS y : 4.31054 | State : 1 |
Time :1390156061 | POS x : -0.093256 | POS y : 5.14144 | State : 1 |
Time :1390156062 | POS x : 0.230008 | POS y : 6.08909 | State : 1 |
Time :1390156062 | POS x : 1.16946 | POS y : 6.4355 | State : 1 |
Time :1390156062 | POS x : 1.86525 | POS y : 7.15571 | State : 1 |
Time :1390156062 | POS x : 1.91435 | POS y : 8.15556 | State : 1 |
Time :1390156062 | POS x : 1.30075 | POS y : 8.94539 | State : 1 |
Time :1390156063 | POS x : 0.460435 | POS y : 8.40585 | State : 1 |
Time :1390156063 | POS x : -0.536831 | POS y : 8.46573 | State : 1 |
Time :1390156063 | POS x : -1.49931 | POS y : 8.19895 | State : 1 |
Time :1390156063 | POS x : -1.77439 | POS y : 7.23881 | State : 1 |
Time :1390156063 | POS x : -2.28728 | POS y : 6.38196 | State : 1 |
Time :1390156064 | POS x : -3.08773 | POS y : 5.78489 | State : 1 |
Time :1390156064 | POS x : -3.34353 | POS y : 4.81943 | State : 1 |
Time :1390156064 | POS x : -2.71351 | POS y : 4.04304 | State : 1 |
Time :1390156064 | POS x : -1.91011 | POS y : 4.64082 | State : 1 |
Time :1390156064 | POS x : -0.91227 | POS y : 4.72123 | State : 1 |
Time :1390156065 | POS x : 0.0134458 | POS y : 4.34158 | State : 1 |
Time :1390156065 | POS x : 0.580327 | POS y : 2.75543 | State : 2 |
Time :1390156066 | POS x : 0.54866 | POS y : 1.75696 | State : 2 |
Time :1390156066 | POS x : 0.516935 | POS y : 0.758495 | State : 2 |
Time :1390156066 | POS x : 0.485149 | POS y : -0.239967 | State : 2 |
Time :1390156066 | POS x : 0.453298 | POS y : -1.23843 | State : 2 |
Time :1390156066 | POS x : 0.421376 | POS y : -2.23689 | State : 2 |
Time :1390156067 | POS x : 0.389379 | POS y : -3.23534 | State : 2 |
Time :1390156067 | POS x : 0.3573 | POS y : -4.23379 | State : 2 |
Time :1390156067 | POS x : 0.325131 | POS y : -5.23224 | State : 2 |
Time :1390156067 | POS x : 0.292863 | POS y : -6.23069 | State : 2 |
Time :1390156067 | POS x : 0.260486 | POS y : -7.22913 | State : 2 |
Time :1390156068 | POS x : 0.227984 | POS y : -8.22757 | State : 2 |
Time :1390156068 | POS x : 0.195339 | POS y : -9.22601 | State : 2 |
Time :1390156068 | POS x : 0.162528 | POS y : -10.2244 | State : 2 |
Time :1390156068 | POS x : 0.129514 | POS y : -11.2229 | State : 2 |
Time :1390156068 | POS x : 0.0962455 | POS y : -12.2213 | State : 2 |
Time :1390156069 | POS x : 0.0626298 | POS y : -13.2197 | State : 2 |
Object Deposited
Time :1390156069 | POS x : 0.0538368 | POS y : -12.2187 | State : 3 |
Time :1390156070 | POS x : 0.0445438 | POS y : -11.2178 | State : 3 |
Time :1390156070 | POS x : 0.0347509 | POS y : -10.2168 | State : 3 |
Time :1390156070 | POS x : 0.024458 | POS y : -9.21589 | State : 3 |
Time :1390156070 | POS x : 0.0136652 | POS y : -8.21496 | State : 3 |
Time :1390156070 | POS x : 0.00237253 | POS y : -7.21404 | State : 3 |
Time :1390156071 | POS x : -0.00942011 | POS y : -6.21312 | State : 3 |
Time :1390156071 | POS x : -0.0217127 | POS y : -5.21221 | State : 3 |
Time :1390156071 | POS x : -0.0345052 | POS y : -4.2113 | State : 3 |
Time :1390156071 | POS x : -0.0477975 | POS y : -3.2104 | State : 3 |
Time :1390156071 | POS x : -0.0615898 | POS y : -2.20951 | State : 3 |
Time :1390156072 | POS x : -0.0758821 | POS y : -1.20863 | State : 3 |
Time :1390156072 | POS x : -0.0906742 | POS y : -0.207755 | State : 3 |
Time :1390156072 | POS x : -0.105966 | POS y : 0.793113 | State : 3 |
Time :1390156072 | POS x : -0.121758 | POS y : 1.79397 | State : 3 |
Time :1390156072 | POS x : -0.13805 | POS y : 2.79482 | State : 3 |
Time :1390156073 | POS x : -0.154842 | POS y : 3.79566 | State : 3 |
Time :1390156073 | POS x : -0.172133 | POS y : 4.7965 | State : 3 |
Time :1390156073 | POS x : -0.189925 | POS y : 5.79732 | State : 3 |
Time :1390156073 | POS x : -0.962944 | POS y : 5.16516 | State : 0 |
Time :1390156073 | POS x : -0.642791 | POS y : 4.21845 | State : 0 |
Time :1390156074 | POS x : 0.328113 | POS y : 3.97597 | State : 0 |
Time :1390156074 | POS x : 1.16336 | POS y : 4.52836 | State : 0 |
Time :1390156074 | POS x : 0.310555 | POS y : 5.04996 | State : 0 |
Time :1390156074 | POS x : 1.03698 | POS y : 4.36266 | State : 0 |
Time :1390156074 | POS x : 0.280099 | POS y : 5.01606 | State : 0 |
Time :1390156075 | POS x : -0.309286 | POS y : 4.20993 | State : 0 |
Time :1390156075 | POS x : 0.680133 | POS y : 4.05919 | State : 0 |
Time :1390156075 | POS x : 1.4664 | POS y : 4.67935 | State : 0 |
Time :1390156075 | POS x : 0.516272 | POS y : 4.98914 | State : 0 |
Time :1390156075 | POS x : 0.652138 | POS y : 3.99928 | State : 1 |
Time :1390156076 | POS x : 1.54673 | POS y : 3.55139 | State : 1 |
Time :1390156076 | POS x : 2.46703 | POS y : 3.94593 | State : 1 |
Time :1390156076 | POS x : 2.33891 | POS y : 2.9553 | State : 2 |
Time :1390156077 | POS x : 2.21074 | POS y : 1.96468 | State : 2 |
Time :1390156077 | POS x : 2.08252 | POS y : 0.974067 | State : 2 |
Time :1390156077 | POS x : 1.95424 | POS y : -0.016542 | State : 2 |
Time :1390156077 | POS x : 1.82591 | POS y : -1.00714 | State : 2 |
Time :1390156077 | POS x : 1.69752 | POS y : -1.99774 | State : 2 |
Time :1390156078 | POS x : 1.56906 | POS y : -2.98832 | State : 2 |
Time :1390156078 | POS x : 1.44053 | POS y : -3.9789 | State : 2 |
Time :1390156078 | POS x : 1.31193 | POS y : -4.96946 | State : 2 |
Time :1390156078 | POS x : 1.18324 | POS y : -5.96002 | State : 2 |
Time :1390156078 | POS x : 1.05446 | POS y : -6.95056 | State : 2 |
Time :1390156079 | POS x : 0.92557 | POS y : -7.94109 | State : 2 |
Time :1390156079 | POS x : 1.06109 | POS y : -6.94918 | State : 3 |
Time :1390156080 | POS x : 1.19611 | POS y : -5.9572 | State : 3 |
Time :1390156080 | POS x : 1.33063 | POS y : -4.96515 | State : 3 |
Time :1390156080 | POS x : 1.46467 | POS y : -3.97304 | State : 3 |
Time :1390156080 | POS x : 1.5982 | POS y : -2.98086 | State : 3 |
Time :1390156080 | POS x : 1.73124 | POS y : -1.98862 | State : 3 |
Time :1390156081 | POS x : 1.86378 | POS y : -0.99631 | State : 3 |
Time :1390156081 | POS x : 1.99583 | POS y : -0.00393379 | State : 3 |
Time :1390156081 | POS x : 2.12739 | POS y : 0.988508 | State : 3 |
Time :1390156081 | POS x : 2.25844 | POS y : 1.98101 | State : 3 |
Time :1390156081 | POS x : 2.389 | POS y : 2.97359 | State : 3 |
Time :1390156082 | POS x : 2.51907 | POS y : 3.96622 | State : 3 |
Time :1390156082 | POS x : 2.64864 | POS y : 4.95892 | State : 3 |
Time :1390156082 | POS x : 3.05005 | POS y : 5.87626 | State : 4 |
Time :1390156082 | POS x : 3.68911 | POS y : 6.64725 | State : 1 |
Time :1390156082 | POS x : 4.29686 | POS y : 7.44314 | State : 1 |
Time :1390156083 | POS x : 4.80509 | POS y : 8.30595 | State : 1 |
Time :1390156083 | POS x : 5.00669 | POS y : 9.28662 | State : 1 |
Time :1390156083 | POS x : 4.00966 | POS y : 9.35034 | State : 1 |
Time :1390156083 | POS x : 3.47269 | POS y : 10.1943 | State : 1 |
Time :1390156083 | POS x : 3.04953 | POS y : 11.1009 | State : 1 |
Time :1390156084 | POS x : 2.94271 | POS y : 12.0961 | State : 1 |
Time :1390156084 | POS x : 3.23155 | POS y : 13.0547 | State : 1 |
Time :1390156084 | POS x : 2.25107 | POS y : 13.2473 | State : 1 |
Time :1390156084 | POS x : 1.44242 | POS y : 12.6614 | State : 1 |
Time :1390156084 | POS x : 1.82031 | POS y : 11.7362 | State : 1 |
Time :1390156085 | POS x : 1.87772 | POS y : 10.7387 | State : 1 |
Time :1390156085 | POS x : 2.85964 | POS y : 10.9341 | State : 1 |
Time :1390156085 | POS x : 3.75417 | POS y : 11.3841 | State : 1 |
Time :1390156085 | POS x : 4.71466 | POS y : 11.6669 | State : 1 |
Time :1390156085 | POS x : 5.52699 | POS y : 11.0833 | State : 1 |
Time :1390156086 | POS x : 6.52342 | POS y : 11.1798 | State : 1 |
Time :1390156086 | POS x : 7.29207 | POS y : 11.8217 | State : 1 |
Time :1390156086 | POS x : 7.37812 | POS y : 12.8191 | State : 1 |
Time :1390156086 | POS x : 7.96434 | POS y : 13.631 | State : 1 |
Time :1390156086 | POS x : 7.821 | POS y : 14.6215 | State : 1 |
Time :1390156087 | POS x : 7.56672 | POS y : 13.6556 | State : 2 |
Time :1390156087 | POS x : 7.31241 | POS y : 12.6898 | State : 2 |
Time :1390156087 | POS x : 7.05808 | POS y : 11.7239 | State : 2 |
Time :1390156088 | POS x : 6.80373 | POS y : 10.7581 | State : 2 |
Time :1390156088 | POS x : 6.54935 | POS y : 9.79222 | State : 2 |
Time :1390156088 | POS x : 6.29494 | POS y : 8.82639 | State : 2 |
Time :1390156088 | POS x : 6.0405 | POS y : 7.86056 | State : 2 |
Time :1390156089 | POS x : 5.78604 | POS y : 6.89474 | State : 2 |
Time :1390156089 | POS x : 5.53154 | POS y : 5.92893 | State : 2 |
Time :1390156089 | POS x : 5.27702 | POS y : 4.96313 | State : 2 |
Time :1390156089 | POS x : 5.02246 | POS y : 3.99734 | State : 2 |
Time :1390156090 | POS x : 5.2842 | POS y : 4.96374 | State : 3 |
Time :1390156090 | POS x : 5.54545 | POS y : 5.93028 | State : 3 |
Time :1390156090 | POS x : 5.80623 | POS y : 6.89695 | State : 3 |
Time :1390156090 | POS x : 6.06652 | POS y : 7.86375 | State : 3 |
Time :1390156091 | POS x : 6.32633 | POS y : 8.83068 | State : 3 |
Time :1390156091 | POS x : 6.58566 | POS y : 9.79774 | State : 3 |
Time :1390156091 | POS x : 6.84451 | POS y : 10.7649 | State : 3 |
Time :1390156091 | POS x : 7.10287 | POS y : 11.7322 | State : 3 |
Time :1390156091 | POS x : 7.36074 | POS y : 12.6997 | State : 3 |
Time :1390156092 | POS x : 7.61814 | POS y : 13.6673 | State : 3 |
Time :1390156092 | POS x : 7.87505 | POS y : 14.635 | State : 3 |
Time :1390156092 | POS x : 8.13148 | POS y : 15.6028 | State : 3 |
Time :1390156092 | POS x : 8.38742 | POS y : 16.5707 | State : 3 |
Time :1390156092 | POS x : 9.36834 | POS y : 16.7711 | State : 0 |
Time :1390156093 | POS x : 9.71229 | POS y : 17.7115 | State : 0 |
Time :1390156093 | POS x : 9.65628 | POS y : 17.8416 | State : 0 |
Time :1390156094 | POS x : 9.56776 | POS y : 18.0859 | State : 0 |
Time :1390156094 | POS x : 8.74862 | POS y : 17.5147 | State : 0 |
Time :1390156094 | POS x : 7.97152 | POS y : 16.8876 | State : 0 |
Time :1390156094 | POS x : 7.47421 | POS y : 16.0216 | State : 0 |
Time :1390156094 | POS x : 7.60321 | POS y : 15.0308 | State : 0 |
Time :1390156095 | POS x : 6.65789 | POS y : 14.7086 | State : 4 |
Time :1390156095 | POS x : 6.90469 | POS y : 13.7402 | State : 1 |
Time :1390156095 | POS x : 7.58613 | POS y : 13.0084 | State : 1 |
Time :1390156095 | POS x : 8.16682 | POS y : 12.1946 | State : 1 |
Time :1390156095 | POS x : 8.99453 | POS y : 12.7582 | State : 1 |
Time :1390156096 | POS x : 8.6091 | POS y : 13.6815 | State : 1 |
Time :1390156096 | POS x : 7.80446 | POS y : 14.2749 | State : 1 |
Time :1390156096 | POS x : 8.06584 | POS y : 15.2414 | State : 4 |
Time :1390156097 | POS x : 7.80914 | POS y : 14.2762 | State : 2 |
Time :1390156097 | POS x : 7.55241 | POS y : 13.311 | State : 2 |
Time :1390156097 | POS x : 7.29566 | POS y : 12.3458 | State : 2 |
Time :1390156097 | POS x : 7.03888 | POS y : 11.3806 | State : 2 |
Time :1390156098 | POS x : 6.78208 | POS y : 10.4154 | State : 2 |
Time :1390156098 | POS x : 6.52525 | POS y : 9.4502 | State : 2 |
